Module,SelfCPUtotal,CPUtotal,SelfCUDAtotal,CUDAtotal,SelfCPUMem,CPUMem,SelfCUDAMem,CUDAMem,NumberofCalls
COTR,,,,,,,,,
├──transformer,,,,,,,,,
│├──encoder,,,,,,,,,
││├──layers,,,,,,,,,
│││├──0,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.196ms,12.169ms,85.860ms,149.689ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,316.224us,316.224us,303.168us,303.168us,0b,0b,0b,0b,100
││││├──linear2,8.063ms,13.901ms,77.236ms,147.484ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,7.919ms,18.466ms,26.789ms,61.953ms,0b,0b,1.40Gb,8.45Gb,100
││││├──norm2,4.258ms,8.618ms,16.657ms,32.441ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,337.063us,337.063us,327.232us,327.232us,0b,0b,0b,0b,100
││││└──dropout2,329.261us,329.261us,317.280us,317.280us,0b,0b,0b,0b,100
│││├──1,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.091ms,11.952ms,85.962ms,149.882ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,327.246us,327.246us,313.024us,313.024us,0b,0b,0b,0b,100
││││├──linear2,7.938ms,13.563ms,77.184ms,147.316ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.167ms,8.396ms,16.601ms,32.334ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.147ms,8.356ms,16.554ms,32.222ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,345.065us,345.065us,327.936us,327.936us,0b,0b,0b,0b,100
││││└──dropout2,334.091us,334.091us,327.744us,327.744us,0b,0b,0b,0b,100
│││├──2,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.076ms,11.950ms,85.836ms,149.642ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,320.042us,320.042us,304.448us,304.448us,0b,0b,0b,0b,100
││││├──linear2,7.662ms,13.112ms,77.224ms,147.420ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.153ms,8.368ms,16.578ms,32.291ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.119ms,8.315ms,16.504ms,32.133ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,329.310us,329.310us,311.680us,311.680us,0b,0b,0b,0b,100
││││└──dropout2,327.984us,327.984us,326.080us,326.080us,0b,0b,0b,0b,100
│││├──3,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.125ms,12.020ms,85.844ms,149.651ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,326.365us,326.365us,314.400us,314.400us,0b,0b,0b,0b,100
││││├──linear2,7.862ms,13.440ms,77.081ms,147.103ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.155ms,8.384ms,16.582ms,32.300ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.220ms,8.443ms,16.551ms,32.207ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,330.203us,330.203us,310.304us,310.304us,0b,0b,0b,0b,100
││││└──dropout2,327.945us,327.945us,322.464us,322.464us,0b,0b,0b,0b,100
│││├──4,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.123ms,12.062ms,85.792ms,149.570ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,317.210us,317.210us,306.176us,306.176us,0b,0b,0b,0b,100
││││├──linear2,7.713ms,13.216ms,76.882ms,146.765ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.125ms,8.314ms,16.559ms,32.248ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.166ms,8.407ms,16.540ms,32.210ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,331.571us,331.571us,308.640us,308.640us,0b,0b,0b,0b,100
││││└──dropout2,330.847us,330.847us,313.120us,313.120us,0b,0b,0b,0b,100
│││├──5,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.026ms,11.856ms,85.871ms,149.715ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,314.991us,314.991us,301.632us,301.632us,0b,0b,0b,0b,100
││││├──linear2,7.687ms,13.128ms,77.178ms,147.317ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.179ms,8.373ms,16.537ms,32.204ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.210ms,8.490ms,16.602ms,32.299ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,325.449us,325.449us,309.504us,309.504us,0b,0b,0b,0b,100
││││└──dropout2,344.360us,344.360us,339.616us,339.616us,0b,0b,0b,0b,100
│├──decoder,,,,,,,,,
││├──layers,,,,,,,,,
│││├──0,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.686ms,13.142ms,63.540ms,110.046ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,322.608us,322.608us,311.392us,311.392us,0b,0b,0b,0b,100
││││├──linear2,7.704ms,13.145ms,55.045ms,103.713ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.196ms,8.430ms,13.275ms,25.498ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.136ms,8.348ms,13.199ms,25.377ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,328.675us,328.675us,312.640us,312.640us,0b,0b,0b,0b,100
││││└──dropout3,329.955us,329.955us,324.704us,324.704us,0b,0b,0b,0b,100
│││├──1,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.580ms,12.924ms,63.190ms,109.276ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,319.202us,319.202us,317.760us,317.760us,0b,0b,0b,0b,100
││││├──linear2,7.604ms,12.968ms,54.932ms,103.500ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.123ms,8.307ms,13.186ms,25.365ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.149ms,8.375ms,13.219ms,25.424ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,328.740us,328.740us,308.416us,308.416us,0b,0b,0b,0b,100
││││└──dropout3,330.561us,330.561us,327.648us,327.648us,0b,0b,0b,0b,100
│││├──2,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.608ms,12.956ms,63.223ms,109.348ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,318.702us,318.702us,308.832us,308.832us,0b,0b,0b,0b,100
││││├──linear2,7.727ms,13.191ms,54.891ms,103.328ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.124ms,8.301ms,13.190ms,25.369ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.170ms,8.415ms,13.176ms,25.328ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,325.831us,325.831us,307.392us,307.392us,0b,0b,0b,0b,100
││││└──dropout3,331.027us,331.027us,321.856us,321.856us,0b,0b,0b,0b,100
│││├──3,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.570ms,12.896ms,62.637ms,108.212ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,319.580us,319.580us,331.232us,331.232us,0b,0b,0b,0b,100
││││├──linear2,7.660ms,13.064ms,54.381ms,102.336ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.157ms,8.363ms,13.169ms,25.309ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.153ms,8.351ms,13.160ms,25.267ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,326.253us,326.253us,315.392us,315.392us,0b,0b,0b,0b,100
││││└──dropout3,329.844us,329.844us,321.760us,321.760us,0b,0b,0b,0b,100
│││├──4,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.621ms,12.977ms,62.708ms,108.303ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,321.770us,321.770us,321.344us,321.344us,0b,0b,0b,0b,100
││││├──linear2,7.584ms,12.956ms,54.380ms,102.398ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.220ms,8.487ms,13.231ms,25.404ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.216ms,8.508ms,13.216ms,25.407ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,346.049us,346.049us,313.280us,313.280us,0b,0b,0b,0b,100
││││└──dropout3,327.164us,327.164us,323.744us,323.744us,0b,0b,0b,0b,100
│││├──5,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.538ms,12.848ms,62.591ms,108.101ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,320.332us,320.332us,318.048us,318.048us,0b,0b,0b,0b,100
││││├──linear2,7.636ms,13.100ms,54.381ms,102.372ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.144ms,8.354ms,13.137ms,25.264ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.160ms,8.386ms,13.164ms,25.285ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,330.129us,330.129us,313.856us,313.856us,0b,0b,0b,0b,100
││││└──dropout3,334.729us,334.729us,333.024us,333.024us,0b,0b,0b,0b,100
││└──norm,29.002ms,58.705ms,92.164ms,177.292ms,0b,0b,7.02Gb,21.17Gb,700
├──corr_embed,,,,,,,,,
│├──layers,,,,,,,,,
││├──0,7.661ms,13.068ms,96.026ms,167.820ms,0b,0b,6.02Gb,18.05Gb,100
││├──1,7.563ms,12.870ms,95.681ms,167.083ms,0b,0b,6.02Gb,18.05Gb,100
││└──2,7.456ms,12.723ms,41.868ms,80.541ms,0b,0b,48.13Mb,144.40Mb,100
├──query_proj,586.190ms,987.857ms,595.602ms,837.422ms,0b,0b,3.26Gb,9.04Gb,100
├──input_proj,14.165ms,53.716ms,90.764ms,358.886ms,0b,0b,1.40Gb,7.02Gb,100
└──backbone,,,,,,,,,
├──0,,,,,,,,,
│├──body,,,,,,,,,
││├──conv1,140.910ms,565.234ms,297.458ms,1.202s,0b,0b,22.47Gb,125.00Gb,200
││├──bn1,34.432ms,46.295ms,193.827ms,197.105ms,0b,0b,44.94Gb,89.88Gb,200
││├──relu,4.907ms,7.617ms,84.599ms,167.265ms,0b,0b,0b,0b,200
││├──maxpool,10.496ms,22.144ms,81.160ms,161.254ms,0b,0b,5.62Gb,39.32Gb,200
││├──layer1,,,,,,,,,
│││├──0,,,,,,,,,
││││├──conv1,17.771ms,66.814ms,41.635ms,160.165ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn1,32.700ms,44.169ms,71.664ms,74.592ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv2,17.543ms,65.934ms,171.425ms,679.415ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn2,32.573ms,43.888ms,71.487ms,74.429ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv3,17.536ms,65.883ms,104.740ms,412.709ms,0b,0b,22.47Gb,112.35Gb,200
││││├──bn3,32.449ms,43.703ms,191.461ms,194.390ms,0b,0b,44.94Gb,89.88Gb,200
││││├──relu,12.625ms,19.241ms,131.764ms,258.222ms,0b,0b,0b,0b,600
││││├──downsample,,,,,,,,,
│││││├──0,17.403ms,65.267ms,104.743ms,412.631ms,0b,0b,22.47Gb,112.35Gb,200
│││││└──1,32.463ms,43.798ms,191.533ms,194.439ms,0b,0b,44.94Gb,89.88Gb,200
│││├──1,,,,,,,,,
││││├──conv1,17.681ms,66.389ms,84.602ms,332.039ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn1,32.735ms,44.156ms,71.669ms,74.626ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv2,17.530ms,65.863ms,169.805ms,672.939ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn2,33.306ms,44.857ms,72.068ms,75.022ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv3,17.594ms,66.095ms,104.762ms,412.698ms,0b,0b,22.47Gb,112.35Gb,200
││││├──bn3,32.603ms,43.907ms,191.674ms,194.610ms,0b,0b,44.94Gb,89.88Gb,200
││││└──relu,12.696ms,19.350ms,131.812ms,258.288ms,0b,0b,0b,0b,600
│││├──2,,,,,,,,,
││││├──conv1,17.622ms,66.184ms,84.640ms,332.226ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn1,32.655ms,44.051ms,71.494ms,74.437ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv2,17.603ms,66.108ms,171.373ms,679.223ms,0b,0b,5.62Gb,28.09Gb,200
││││├──bn2,32.406ms,43.684ms,71.269ms,74.173ms,0b,0b,11.23Gb,22.47Gb,200
││││├──conv3,17.557ms,66.034ms,104.742ms,412.697ms,0b,0b,22.47Gb,112.35Gb,200
││││├──bn3,32.799ms,44.178ms,191.847ms,194.798ms,0b,0b,44.94Gb,89.88Gb,200
││││└──relu,12.708ms,19.350ms,131.804ms,258.263ms,0b,0b,0b,0b,600
││├──layer2,,,,,,,,,
│││├──0,,,,,,,,,
││││├──conv1,17.956ms,67.496ms,144.941ms,573.341ms,0b,0b,11.23Gb,56.18Gb,200
││││├──bn1,32.966ms,44.477ms,111.825ms,114.772ms,0b,0b,22.47Gb,44.94Gb,200
││││├──conv2,17.617ms,66.175ms,164.478ms,651.608ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn2,32.432ms,43.699ms,51.289ms,54.182ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv3,17.615ms,66.228ms,85.196ms,334.469ms,0b,0b,11.23Gb,56.17Gb,200
││││├──bn3,32.461ms,43.767ms,111.379ms,114.286ms,0b,0b,22.47Gb,44.94Gb,200
││││├──relu,12.668ms,19.292ms,101.766ms,198.200ms,0b,0b,0b,0b,600
││││├──downsample,,,,,,,,,
│││││├──0,17.332ms,65.019ms,156.389ms,619.265ms,0b,0b,11.23Gb,56.17Gb,200
│││││└──1,32.856ms,44.309ms,111.740ms,114.672ms,0b,0b,22.47Gb,44.94Gb,200
│││├──1,,,,,,,,,
││││├──conv1,17.666ms,66.319ms,92.966ms,365.513ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn1,32.514ms,43.860ms,51.366ms,54.275ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv2,17.731ms,66.616ms,164.765ms,652.702ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn2,32.712ms,44.083ms,51.563ms,54.519ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv3,17.449ms,65.508ms,85.400ms,335.314ms,0b,0b,11.23Gb,56.17Gb,200
││││├──bn3,32.512ms,43.815ms,111.378ms,114.302ms,0b,0b,22.47Gb,44.94Gb,200
││││└──relu,12.664ms,19.278ms,71.739ms,138.161ms,0b,0b,0b,0b,600
│││├──2,,,,,,,,,
││││├──conv1,17.519ms,65.824ms,92.969ms,365.564ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn1,32.473ms,43.776ms,51.342ms,54.240ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv2,17.400ms,65.348ms,164.388ms,651.294ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn2,32.632ms,43.981ms,51.534ms,54.468ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv3,17.481ms,65.629ms,85.474ms,335.592ms,0b,0b,11.23Gb,56.17Gb,200
││││├──bn3,32.565ms,43.884ms,111.447ms,114.355ms,0b,0b,22.47Gb,44.94Gb,200
││││└──relu,12.626ms,19.216ms,71.772ms,138.172ms,0b,0b,0b,0b,600
│││├──3,,,,,,,,,
││││├──conv1,17.531ms,65.850ms,92.934ms,365.455ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn1,32.314ms,43.585ms,51.240ms,54.148ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv2,17.596ms,66.067ms,164.374ms,651.173ms,0b,0b,2.81Gb,14.04Gb,200
││││├──bn2,32.437ms,43.723ms,51.297ms,54.224ms,0b,0b,5.62Gb,11.24Gb,200
││││├──conv3,17.855ms,67.040ms,85.761ms,336.636ms,0b,0b,11.23Gb,56.17Gb,200
││││├──bn3,32.749ms,44.136ms,111.599ms,114.530ms,0b,0b,22.47Gb,44.94Gb,200
││││└──relu,12.729ms,19.378ms,72.015ms,138.663ms,0b,0b,0b,0b,600
││└──layer3,,,,,,,,,
││├──0,,,,,,,,,
│││├──conv1,17.808ms,66.892ms,157.191ms,622.426ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn1,32.410ms,43.692ms,71.098ms,73.998ms,0b,0b,11.24Gb,22.47Gb,200
│││├──conv2,17.386ms,65.293ms,186.601ms,740.105ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.166ms,43.360ms,40.694ms,43.585ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.313ms,65.028ms,81.373ms,319.292ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.333ms,43.561ms,71.162ms,74.053ms,0b,0b,11.24Gb,22.48Gb,200
│││├──relu,12.555ms,19.132ms,56.707ms,108.121ms,0b,0b,0b,0b,600
│││├──downsample,,,,,,,,,
││││├──0,17.488ms,65.490ms,160.011ms,633.665ms,0b,0b,5.62Gb,28.09Gb,200
││││└──1,33.132ms,44.668ms,71.664ms,74.628ms,0b,0b,11.24Gb,22.48Gb,200
││├──1,,,,,,,,,
│││├──conv1,17.458ms,65.542ms,91.760ms,360.728ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.623ms,43.992ms,41.166ms,44.097ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.315ms,65.023ms,186.528ms,739.905ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.678ms,44.020ms,41.228ms,44.138ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.365ms,65.212ms,81.576ms,319.998ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.478ms,43.782ms,71.308ms,74.234ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.582ms,19.164ms,41.690ms,78.082ms,0b,0b,0b,0b,600
││├──2,,,,,,,,,
│││├──conv1,17.432ms,65.458ms,91.730ms,360.677ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.702ms,44.088ms,41.226ms,44.151ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.261ms,64.817ms,186.515ms,739.744ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.210ms,43.396ms,40.804ms,43.694ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.428ms,65.469ms,81.685ms,320.460ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.303ms,43.455ms,71.256ms,74.166ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.588ms,19.145ms,41.635ms,77.980ms,0b,0b,0b,0b,600
││├──3,,,,,,,,,
│││├──conv1,17.267ms,64.888ms,91.645ms,360.284ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.055ms,43.266ms,40.749ms,43.627ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.116ms,64.272ms,186.326ms,739.182ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,31.926ms,42.993ms,40.538ms,43.393ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.228ms,64.741ms,81.304ms,318.960ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,31.709ms,42.690ms,70.777ms,73.653ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.413ms,18.905ms,41.623ms,77.923ms,0b,0b,0b,0b,600
││├──4,,,,,,,,,
│││├──conv1,17.189ms,64.530ms,91.563ms,360.037ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,31.909ms,43.028ms,40.570ms,43.428ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.207ms,64.643ms,186.444ms,739.590ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,31.878ms,43.034ms,40.575ms,43.451ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.158ms,64.482ms,81.330ms,319.075ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.176ms,43.290ms,71.031ms,73.913ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.310ms,18.760ms,41.519ms,77.780ms,0b,0b,0b,0b,600
││└──5,,,,,,,,,
││├──conv1,17.209ms,64.643ms,91.611ms,360.172ms,0b,0b,1.40Gb,7.02Gb,200
││├──bn1,31.952ms,43.081ms,40.679ms,43.534ms,0b,0b,2.81Gb,5.62Gb,200
││├──conv2,17.096ms,64.229ms,186.324ms,739.179ms,0b,0b,1.40Gb,7.02Gb,200
││├──bn2,31.819ms,42.840ms,40.477ms,43.322ms,0b,0b,2.81Gb,5.62Gb,200
││├──conv3,17.085ms,64.162ms,81.495ms,319.799ms,0b,0b,5.62Gb,28.09Gb,200
││├──bn3,31.699ms,42.730ms,70.732ms,73.608ms,0b,0b,11.24Gb,22.48Gb,200
││└──relu,12.384ms,18.851ms,41.574ms,77.883ms,0b,0b,0b,0b,600
└──1,,,,,,,,,
└──sine,568.560ms,909.850ms,580.386ms,805.950ms,0b,0b,4.56Gb,12.64Gb,100
